n_estimators,max_depth,learning_rate,subsample,colsample_bytree,reg_alpha,reg_lambda,mean_directional_accuracy,mean_rmse,mean_r2,selection_score
100,3,0.01,0.7,0.7,1.0,10.0,0.5925925925925926,0.325110270597546,-0.9184378818784479,0.5763370790627153
100,2,0.01,0.7,0.7,2.0,5.0,0.5925925925925926,0.3247029282375658,-0.9195056942891671,0.5763574461807143
50,3,0.01,0.7,0.6,1.0,2.0,0.5925925925925926,0.3243378482993499,-0.9199067647699573,0.5763757001776251
50,2,0.03,0.6,0.6,2.0,5.0,0.5925925925925926,0.32463197555625195,-0.9205130056473614,0.57636099381478
100,3,0.01,0.7,0.7,0.5,10.0,0.5925925925925926,0.3250463351199096,-0.9214835828277409,0.5763402758365971
100,3,0.01,0.7,0.6,2.0,5.0,0.5925925925925926,0.325092668593534,-0.9215696202099615,0.5763379591629159
50,3,0.03,0.6,0.6,0.5,10.0,0.5925925925925926,0.32571658963358396,-0.9226279593821248,0.5763067631109133
100,2,0.01,0.7,0.7,1.0,10.0,0.5925925925925926,0.325182610535871,-0.9227253958087647,0.576333462065799
100,2,0.01,0.7,0.6,2.0,5.0,0.5925925925925926,0.32492483590902743,-0.9234019071782913,0.5763463507971411
100,3,0.01,0.6,0.6,1.0,5.0,0.5925925925925926,0.32534199372590444,-0.9239438148025779,0.5763254929062973
50,2,0.01,0.7,0.6,1.0,2.0,0.5925925925925926,0.3241430347133227,-0.9267866456280363,0.5763854408569264
50,2,0.01,0.6,0.6,0.5,2.0,0.5925925925925926,0.3249417143666229,-0.9272974281315949,0.5763455068742614
50,2,0.03,0.6,0.7,2.0,2.0,0.5925925925925926,0.324013023416707,-0.9280620606916654,0.5763919414217572
50,2,0.03,0.6,0.7,0.5,10.0,0.5925925925925926,0.3248647216090993,-0.9350975642297499,0.5763493565121376
100,2,0.01,0.6,0.7,2.0,2.0,0.5925925925925926,0.3251912216903779,-0.935514625726161,0.5763330315080737
50,2,0.01,0.7,0.7,0.5,2.0,0.5925925925925926,0.3245417740629437,-0.9360673023954162,0.5763655038894454
50,2,0.01,0.7,0.7,1.0,2.0,0.5925925925925926,0.3244478588453634,-0.9362470684248128,0.5763701996503244
