date,spx_return,ndx_return,gold_return,eurusd_return,gbpusd_return,spx_vol_3m,ndx_vol_3m,vix_level,us2y_yield,us10y_yield,yield_spread,us_cpi_yoy,high_yield_spread,vix_spike,spx_drawdown,ndx_drawdown,ecb_level,ecb_yoy,dxy_return,qqq_return,btc_return
2012-12-01,0.007043447111457518,-0.006349750956121645,-0.02241452810845081,0.016194685919980606,0.014697483259490976,0.014546296123144918,0.03462691710765877,18.02,0.25,1.78,1.53,0.017595049796895523,5.34,0,-0.07950922304405636,-0.39494615538537103,2012.0,0.0004972650422674363,-0.004752446252972545,-0.004681054449916971,0.0772584831371316
2013-01-01,0.049197760692578335,0.026186206020201323,-0.007796960254802721,0.02905031973441784,-0.024049504973844206,0.025636654272440117,0.01628616675682836,14.28,0.27,2.02,1.75,0.01684061762098299,4.95,0,-0.03309065561708568,-0.3788928201116912,2012.0,0.0004972650422674363,-0.007044909922420711,0.026365353349576508,0.38163952969609477
2013-02-01,0.010999881888155871,0.002577646118086118,-0.05195861671833675,-0.039026414350551604,-0.04455208978094734,0.023279882140291135,0.016810963761472775,15.51,0.25,1.89,1.64,0.020181404902574807,4.98,0,-0.022396055196272083,-0.37728976042784645,2012.0,0.0004972650422674363,0.03437281410643371,0.0034340709471962784,0.45016991009565077
2013-03-01,0.03535536713008354,0.02883270012346306,0.011014624191232307,-0.019241021670871557,0.002173412782970977,0.019338560210393534,0.01445507922563006,12.7,0.25,1.87,1.62,0.015187472411246183,4.86,0,0.0,-0.3590739999636185,2012.0,0.0004972650422674363,0.012244736845145921,0.02979887998868324,1.0256495863480983
2013-04-01,0.01792416211692459,0.02409805839998311,-0.0784161436900231,0.026865334297997947,0.021671365153539433,0.01254978237704441,0.013993289093095242,13.52,0.22,1.7,1.48,0.01138808047576867,4.55,0,0.0,-0.34344132574172775,2012.0,0.0004972650422674363,-0.015298920268044521,0.025056821365317353,0.5026933190414482
2013-05-01,0.02055017475157647,0.03214343379499865,-0.06373364089284024,-0.01299613123883102,-0.022197819495785254,0.009398019045989851,0.00404363398731279,16.3,0.3,2.16,1.86,0.013903888279197085,4.62,0,0.0,-0.32199443363105523,2012.0,0.0004972650422674363,0.019987266910618678,0.035149944680765925,-0.10063774542570665
2013-06-01,-0.015112952997701294,-0.02449811551559802,-0.11660780165814605,0.0014609206396748698,0.0011183843802468178,0.01987546896015158,0.030644687665740463,16.86,0.36,2.52,2.16,0.017157935271568725,5.21,0,-0.014999325459607317,-0.33840248849435184,2012.0,0.0004972650422674363,-0.002521755647323992,-0.024244386380662668,-0.227753243703812
2013-07-01,0.04827775787697368,0.06021696300180009,0.07213405127413894,0.02136069966656348,-0.0007893179387634647,0.031778031646704584,0.043152892291322034,13.45,0.31,2.6,2.29,0.01885471805415806,4.71,0,0.0,-0.29733914830916996,2012.0,0.0004972650422674363,-0.020897386284602804,0.061226925440683186,0.03241557308712319
2013-08-01,-0.03179826168331884,-0.005314743204558109,0.05087881571311272,-0.006035021334469914,0.01948388615322664,0.04224719055698916,0.044420436024704475,17.01,0.39,2.78,2.3899999999999997,0.01538809488600279,4.76,0,-0.03129801332360461,-0.30106370400014554,2012.0,0.0004972650422674363,0.007826864169080721,-0.003966766094420128,0.1932396862425126
2013-09-01,0.029315544388002535,0.04590436255502849,-0.04787163465544266,0.02281581559799861,0.04337938243005368,0.04184620998677726,0.03445444297589916,16.6,0.33,2.64,2.31,0.010947341081747997,4.83,0,-0.0024796379016806154,-0.26823167736889025,2012.0,0.0004972650422674363,-0.023043286190417407,0.04719008451048386,0.10993931377041868
